;task;dataset;embedding_method;weighting_method;metric;value;n_runs;extra
0;infmax;rice;node2vec;crosswalk;mean_infected_nodes_fraction;18.815489749430522;5;
1;infmax;rice;node2vec;crosswalk;mean_disparity;12.278884355167275;5;
2;infmax;rice;node2vec;crosswalk;std_infected_nodes_fraction;1.9679827850984213;5;
3;infmax;rice;node2vec;crosswalk;std_disparity;10.887123174907753;5;
4;infmax;rice;node2vec;crosswalk;var_infected_nodes_fraction;3.872956242443739;5;
5;infmax;rice;node2vec;crosswalk;var_disparity;118.52945102561348;5;
6;infmax;rice;node2vec;fairwalk;mean_infected_nodes_fraction;16.765375854214124;5;
7;infmax;rice;node2vec;fairwalk;mean_disparity;9.948831540240482;5;
8;infmax;rice;node2vec;fairwalk;std_infected_nodes_fraction;1.3712908376576232;5;
9;infmax;rice;node2vec;fairwalk;std_disparity;3.429154174936103;5;
10;infmax;rice;node2vec;fairwalk;var_infected_nodes_fraction;1.880438561443746;5;
11;infmax;rice;node2vec;fairwalk;var_disparity;11.759098355481706;5;
12;infmax;rice;node2vec;skip;mean_infected_nodes_fraction;20.0;5;
13;infmax;rice;node2vec;skip;mean_disparity;68.50905976273695;5;
14;infmax;rice;node2vec;skip;std_infected_nodes_fraction;2.2337404413906627;5;
15;infmax;rice;node2vec;skip;std_disparity;17.28804895573729;5;
16;infmax;rice;node2vec;skip;var_infected_nodes_fraction;4.989596359504152;5;
17;infmax;rice;node2vec;skip;var_disparity;298.8766366959692;5;
